category,password,length,character_pool_size,entropy_bits,rating
Random,WttDmYR*pPS#,12,84,77,Strong
Random,MS#QiRFh2#R$,12,94,79,Strong
Random,Mls%oB0X8YU8,12,94,79,Strong
Random,Kw1w1uU9jUOT,12,62,71,Strong
Random,iKUiIR(!ex4I,12,94,79,Strong
Random,HU$%p)2s%WYK,12,94,79,Strong
Random,0cDBP@BKJsp),12,94,79,Strong
Random,$MZ#TC!zxhc%,12,84,77,Strong
Random,!J7@zf5DFvMS,12,94,79,Strong
Random,OeewO4H6i*x4,12,94,79,Strong
Random,EaF8H8@K@CLL,12,94,79,Strong
Random,8IJU8XW#NQUi,12,94,79,Strong
Random,R%N3vuqtxnYA,12,94,79,Strong
Random,0F@HZh@zNQSK,12,94,79,Strong
Random,nuJSIT1YjPe#,12,94,79,Strong
Random,sJaX@NXhgnwQ,12,84,77,Strong
Random,DXBAfakx!Mjm,12,84,77,Strong
Random,ii%F4YUvfusH,12,94,79,Strong
User,jennifer,8,26,38,Weak
User,alexander,9,26,42,Moderate
User,barcelona,9,26,42,Moderate
User,chiquita,8,26,38,Weak
User,anthony1,8,36,41,Moderate
User,friendship,10,26,47,Moderate
User,johncena,8,26,38,Weak
User,softball,8,26,38,Weak
User,tazmania,8,26,38,Weak
User,elephant,8,26,38,Weak
User,ilovegod,8,26,38,Weak
User,mahalkita,9,26,42,Moderate
User,88888888,8,10,27,Weak
User,katherine,9,26,42,Moderate
User,sunshine,8,26,38,Weak
User,789456123,9,10,30,Weak
User,estrellita,10,26,47,Moderate
User,superman,8,26,38,Weak
User,cristian,8,26,38,Weak
User,skittles,8,26,38,Weak
User,147258369,9,10,30,Weak
User,scoobydoo,9,26,42,Moderate
User,babygirl1,9,36,47,Moderate
User,sexybitch,9,26,42,Moderate
User,cocacola,8,26,38,Weak
User,michelle,8,26,38,Weak
User,snickers,8,26,38,Weak
User,whatever,8,26,38,Weak
User,remember,8,26,38,Weak
User,lollypop,8,26,38,Weak
User,benjamin,8,26,38,Weak
User,rockstar,8,26,38,Weak
User,hollywood,9,26,42,Moderate
User,christine,9,26,42,Moderate
User,liverpool,9,26,42,Moderate
User,alejandra,9,26,42,Moderate
User,basketball,10,26,47,Moderate
User,darkangel,9,26,42,Moderate
User,sweetness,9,26,42,Moderate
User,12345678,8,10,27,Weak
User,elizabeth,9,26,42,Moderate
User,bestfriends,11,26,52,Moderate
User,courtney,8,26,38,Weak
User,iloveyou,8,26,38,Weak
User,isabella,8,26,38,Weak
User,jesucristo,10,26,47,Moderate
User,jonathan,8,26,38,Weak
User,catalina,8,26,38,Weak
User,sexymama,8,26,38,Weak
User,stephanie,9,26,42,Moderate
User,football,8,26,38,Weak
User,jasmine1,8,36,41,Moderate
User,jessica1,8,36,41,Moderate
User,shopping,8,26,38,Weak
User,00000000,8,10,27,Weak
User,babyface,8,26,38,Weak
User,brittany,8,26,38,Weak
User,babydoll,8,26,38,Weak
User,francisco,9,26,42,Moderate
User,twilight,8,26,38,Weak
User,milagros,8,26,38,Weak
User,christian,9,26,42,Moderate
User,linkinpark,10,26,47,Moderate
User,diamonds,8,26,38,Weak
User,harrypotter,11,26,52,Moderate
User,sunflower,9,26,42,Moderate
User,garfield,8,26,38,Weak
User,bubbles1,8,36,41,Moderate
User,alexandra,9,26,42,Moderate
User,sweetpea,8,26,38,Weak
User,maryjane,8,26,38,Weak
User,savannah,8,26,38,Weak
User,samantha,8,26,38,Weak
User,teiubesc,8,26,38,Weak
User,carebear,8,26,38,Weak
User,123456789,9,10,30,Weak
User,buttercup,9,26,42,Moderate
User,michelle1,9,36,47,Moderate
User,danielle,8,26,38,Weak
User,ilovejesus,10,26,47,Moderate
User,741852963,9,10,30,Weak
User,angelina,8,26,38,Weak
User,charlotte,9,26,42,Moderate
User,santiago,8,26,38,Weak
User,strawberry,10,26,47,Moderate
User,billabong,9,26,42,Moderate
User,matthew1,8,36,41,Moderate
User,leonardo,8,26,38,Weak
User,lollipop,8,26,38,Weak
User,babyblue,8,26,38,Weak
User,pineapple,9,26,42,Moderate
User,kimberly,8,26,38,Weak
User,september,9,26,42,Moderate
User,0123456789,10,10,33,Weak
User,11111111,8,10,27,Weak
User,cutiepie,8,26,38,Weak
User,password2,9,36,47,Moderate
User,cristina,8,26,38,Weak
User,patricia,8,26,38,Weak
User,123123123,9,10,30,Weak
